tipo_impresion,material,cantidad,ancho_cm,alto_cm,tiempo_produccion_minutos,retraso_critico
Offset,Couché 300g,16795,70.0,100.0,147.86,0
Digital,Bond 80g,516,21.0,29.7,53.99,1
Offset,Bond 90g,38194,70.0,100.0,245.86,0
Offset,Folkote,17023,70.0,100.0,155.19,0
Plotter,Microperforado,3,55.15,486.46,121.88,0
Offset,Folkote,6311,70.0,100.0,111.98,0
Digital,Bond 80g,326,21.0,29.7,55.92,1
Serigrafia,Tela,302,40.0,50.0,211.39,0
Plotter,Lona Banner,44,55.77,286.15,867.22,0
Digital,Cartulina Hilo,749,21.0,29.7,61.28,0
Serigrafia,Plástico,320,40.0,50.0,219.66,0
Serigrafia,Plástico,100,40.0,50.0,92.74,0
Offset,Folkote,2899,70.0,100.0,115.09,1
Serigrafia,Tela,180,40.0,50.0,138.94,0
Plotter,Lona Banner,37,201.89,126.74,1160.02,0
Serigrafia,Plástico,389,40.0,50.0,236.58,0
Digital,Cartulina Hilo,141,21.0,29.7,21.83,0
Digital,Cartulina Hilo,558,21.0,29.7,51.28,1
Offset,Bond 90g,18159,70.0,100.0,174.02,0
Serigrafia,Plástico,51,40.0,50.0,58.29,0
Offset,Folkote,2021,70.0,100.0,112.89,1
Digital,Cartulina Hilo,871,21.0,29.7,80.49,1
Digital,Couché 150g,526,21.0,29.7,58.68,1
Plotter,Lona Banner,8,192.61,284.38,557.54,0
Digital,Couché 150g,751,21.0,29.7,52.46,0
Serigrafia,Cartón,387,40.0,50.0,222.67,0
Plotter,Microperforado,47,257.18,210.54,3087.35,0
Plotter,Lona Banner,41,124.07,124.37,771.55,0
Serigrafia,Tela,394,40.0,50.0,247.82,0
Plotter,Lona Banner,35,247.54,322.68,3393.75,0
Serigrafia,Cartón,280,40.0,50.0,191.62,0
Digital,Bond 80g,250,21.0,29.7,39.91,1
Plotter,Vinilo Adhesivo,8,162.36,92.93,189.54,0
Plotter,Vinilo Adhesivo,37,232.4,336.9,3495.12,0
Serigrafia,Plástico,84,40.0,50.0,76.62,0
Serigrafia,Plástico,180,40.0,50.0,134.24,0
Digital,Bond 80g,818,21.0,29.7,56.56,0
Serigrafia,Cartón,447,40.0,50.0,276.34,0
Offset,Folkote,26446,70.0,100.0,205.72,0
Plotter,Microperforado,32,209.1,191.46,1557.68,0
Serigrafia,Cartón,145,40.0,50.0,109.68,0
Digital,Cartulina Hilo,280,21.0,29.7,43.24,1
Plotter,Microperforado,45,184.96,141.38,1443.42,0
Serigrafia,Tela,292,40.0,50.0,197.08,0
Serigrafia,Cartón,135,40.0,50.0,115.43,0
Offset,Folkote,43557,70.0,100.0,301.75,0
Serigrafia,Cartón,490,40.0,50.0,288.95,0
Digital,Bond 80g,669,21.0,29.7,48.9,0
Serigrafia,Tela,93,40.0,50.0,101.13,1
Plotter,Lona Banner,28,139.07,458.07,2168.43,0
Offset,Folkote,31080,70.0,100.0,226.48,0
Serigrafia,Plástico,165,40.0,50.0,112.86,0
Plotter,Microperforado,13,265.18,53.13,223.23,0
Serigrafia,Cartón,214,40.0,50.0,155.46,0
Plotter,Vinilo Adhesivo,33,79.97,201.93,667.82,0
Digital,Cartulina Hilo,657,21.0,29.7,61.89,1
Digital,Cartulina Hilo,521,21.0,29.7,41.62,0
Digital,Bond 80g,546,21.0,29.7,66.34,1
Digital,Couché 150g,491,21.0,29.7,30.36,0
Serigrafia,Tela,162,40.0,50.0,125.73,0
Digital,Bond 80g,130,21.0,29.7,27.08,1
Plotter,Vinilo Adhesivo,32,277.07,157.8,1708.08,0
Digital,Bond 80g,179,21.0,29.7,10.0,0
Offset,Bond 90g,27309,70.0,100.0,226.35,0
Digital,Cartulina Hilo,465,21.0,29.7,40.62,0
Digital,Bond 80g,233,21.0,29.7,38.34,1
Offset,Bond 90g,13688,70.0,100.0,135.42,0
Digital,Cartulina Hilo,933,21.0,29.7,85.49,1
Plotter,Microperforado,34,208.38,291.1,2495.02,0
Digital,Couché 150g,398,21.0,29.7,39.24,1
Serigrafia,Tela,308,40.0,50.0,216.07,0
Offset,Folkote,7546,70.0,100.0,121.47,0
Digital,Couché 150g,395,21.0,29.7,29.24,0
Digital,Couché 150g,913,21.0,29.7,71.34,0
Offset,Folkote,2734,70.0,100.0,94.03,0
Digital,Couché 150g,689,21.0,29.7,50.3,0
Digital,Bond 80g,600,21.0,29.7,47.17,0
Serigrafia,Cartón,200,40.0,50.0,141.78,0
Serigrafia,Tela,464,40.0,50.0,273.43,0
Digital,Bond 80g,813,21.0,29.7,71.21,1
Offset,Folkote,32065,70.0,100.0,235.46,0
Digital,Bond 80g,930,21.0,29.7,75.28,1
Digital,Bond 80g,51,21.0,29.7,37.55,1
Offset,Bond 90g,8158,70.0,100.0,117.31,0
Serigrafia,Cartón,58,40.0,50.0,83.65,1
Serigrafia,Cartón,257,40.0,50.0,162.85,0
Serigrafia,Cartón,180,40.0,50.0,132.15,0
Serigrafia,Plástico,210,40.0,50.0,160.65,0
Offset,Couché 300g,13183,70.0,100.0,147.45,0
Digital,Cartulina Hilo,303,21.0,29.7,51.18,1
Digital,Couché 150g,276,21.0,29.7,44.47,1
Plotter,Vinilo Adhesivo,25,51.27,122.36,216.55,0
Plotter,Microperforado,18,171.4,251.79,962.16,0
Digital,Cartulina Hilo,865,21.0,29.7,64.42,0
Offset,Bond 90g,4987,70.0,100.0,113.37,1
Offset,Couché 300g,34986,70.0,100.0,242.58,0
Serigrafia,Plástico,450,40.0,50.0,274.18,0
Plotter,Microperforado,22,116.3,159.8,501.76,0
Serigrafia,Cartón,87,40.0,50.0,88.39,0
Serigrafia,Tela,313,40.0,50.0,205.63,0
Offset,Bond 90g,20738,70.0,100.0,159.33,0
Plotter,Vinilo Adhesivo,33,194.23,271.63,2110.75,0
Serigrafia,Plástico,366,40.0,50.0,255.84,0
Digital,Bond 80g,241,21.0,29.7,36.74,1
Serigrafia,Cartón,98,40.0,50.0,76.17,0
Digital,Couché 150g,567,21.0,29.7,50.92,1
